id;count;total_time;CPU;LPM;DeepLPM;Radio_TX;Radio_RX;Radio_Total
8;0;1965866;119161;1846705;0;0;1965751;1965751
2;0;1966644;72362;1894282;0;954;595996;596950
6;0;1966646;73412;1893234;0;920;595345;596265
4;0;1965866;125799;1840067;0;0;1965751;1965751
7;0;1965866;118843;1847023;0;0;1965751;1965751
1;0;1968072;48272;1919800;0;1236;104062;105298
10;0;1965862;119161;1846701;0;0;1965747;1965747
9;0;1965866;125723;1840143;0;0;1965751;1965751
5;0;1965866;123232;1842634;0;0;1965751;1965751
3;0;1965866;119163;1846703;0;0;1965751;1965751
8;1;1966080;121393;1844687;0;0;1966080;1966080
2;1;1966082;32573;1933509;0;427;103763;104190
6;1;1966091;35756;1930335;0;527;103544;104071
4;1;1966064;39485;1926579;0;131;301112;301243
7;1;1966080;119356;1846724;0;0;1966080;1966080
1;1;1966086;32422;1933664;0;388;103645;104033
10;1;1966080;119355;1846725;0;0;1966080;1966080
9;1;1966064;99713;1866351;0;81;1395635;1395716
5;1;1966080;123425;1842655;0;0;1966080;1966080
3;1;1966080;119356;1846724;0;0;1966080;1966080
8;2;1966080;120298;1845782;0;0;1966080;1966080
2;2;1966077;27791;1938286;0;262;104102;104364
6;2;1966078;30543;1935535;0;407;103767;104174
4;2;1966080;30906;1935174;0;153;104105;104258
7;2;1966080;119253;1846827;0;0;1966080;1966080
1;2;1966093;32714;1933379;0;388;103611;103999
10;2;1966080;119253;1846827;0;0;1966080;1966080
9;2;1966080;29204;1936876;0;128;103862;103990
5;2;1966064;68943;1897121;0;78;861408;861486
3;2;1966080;118936;1847144;0;0;1966080;1966080
8;3;1966080;119355;1846725;0;0;1966080;1966080
2;3;1966064;26621;1939443;0;160;104202;104362
6;3;1966060;27400;1938660;0;181;103739;103920
4;3;1966080;25560;1940520;0;81;104205;104286
7;3;1966080;121092;1844988;0;0;1966080;1966080
1;3;1966081;34704;1931377;0;512;103668;104180
10;3;1966080;120714;1845366;0;0;1966080;1966080
9;3;1966080;31524;1934556;0;206;103730;103936
5;3;1966080;31536;1934544;0;206;103850;104056
3;3;1966080;119355;1846725;0;0;1966080;1966080
8;4;1966080;119936;1846144;0;0;1966080;1966080
2;4;1966078;25489;1940589;0;262;104190;104452
6;4;1966070;25589;1940481;0;262;103895;104157
4;4;1966080;22041;1944039;0;56;104372;104428
7;4;1966080;119570;1846510;0;0;1966080;1966080
1;4;1966077;26671;1939406;0;223;103895;104118
10;4;1966080;119572;1846508;0;0;1966080;1966080
9;4;1966080;23113;1942967;0;84;104163;104247
5;4;1966080;26205;1939875;0;131;104174;104305
3;4;1966080;119254;1846826;0;0;1966080;1966080
8;5;1966080;120732;1845348;0;0;1966080;1966080
2;5;1966079;23934;1942145;0;160;104300;104460
6;5;1966079;23982;1942097;0;160;104067;104227
4;5;1966080;21930;1944150;0;56;104428;104484
7;5;1966080;120353;1845727;0;0;1966080;1966080
1;5;1967991;26188;1941803;0;160;103922;104082
10;5;1966080;120036;1846044;0;0;1966080;1966080
9;5;1966080;24092;1941988;0;56;104221;104277
5;5;1966080;25441;1940639;0;84;104253;104337
3;5;1966080;119991;1846089;0;0;1966080;1966080
8;6;1966081;120616;1845465;0;0;1966080;1966080
2;6;1966080;27156;1938924;0;200;104143;104343
6;6;1966047;27144;1938903;0;200;103939;104139
4;6;1966080;25461;1940619;0;84;104301;104385
7;6;1966081;119254;1846827;0;0;1966080;1966080
1;6;1964168;27485;1936683;0;200;103796;103996
10;6;1966080;119935;1846145;0;0;1966080;1966080
9;6;1966080;21905;1944175;0;56;104293;104349
5;6;1966080;22016;1944064;0;56;104440;104496
3;6;1966081;118937;1847144;0;0;1966080;1966080
8;7;1966079;120722;1845357;0;0;1966080;1966080
2;7;1966080;25086;1940994;0;262;104194;104456
6;7;1966032;23940;1942092;0;160;104045;104205
4;7;1966080;21750;1944330;0;56;104377;104433
7;7;1966079;119354;1846725;0;0;1966080;1966080
1;7;1966072;25399;1940673;0;262;103930;104192
10;7;1966080;119356;1846724;0;0;1966080;1966080
9;7;1966080;23019;1943061;0;84;104254;104338
5;7;1966080;20689;1945391;0;28;104412;104440
3;7;1966079;119355;1846724;0;0;1966080;1966080
8;8;1966081;119255;1846826;0;0;1966080;1966080
2;8;1966079;24075;1942004;0;160;104269;104429
6;8;1966071;22935;1943136;0;262;104104;104366
4;8;1966080;21728;1944352;0;56;104401;104457
7;8;1966081;119937;1846144;0;0;1966080;1966080
1;8;1966070;21877;1944193;0;160;104092;104252
10;8;1966081;119255;1846826;0;0;1966080;1966080
9;8;1966080;22916;1943164;0;84;104220;104304
5;8;1966080;21794;1944286;0;56;104361;104417
3;8;1966081;119256;1846825;0;0;1966080;1966080
8;9;1966080;121716;1844364;0;0;1966080;1966080
2;9;1966081;26178;1939903;0;160;104222;104382
6;9;1966082;24787;1941295;0;200;104025;104225
4;9;1966080;24258;1941822;0;56;104380;104436
7;9;1966080;119356;1846724;0;0;1966080;1966080
1;9;1965999;26664;1939335;0;160;103962;104122
10;9;1966080;120355;1845725;0;0;1966080;1966080
5;9;1966155;27484;1938671;0;84;104190;104274
9;9;1966375;26199;1940176;0;56;104224;104280
3;9;1966080;119039;1847041;0;0;1966080;1966080
